fsu:359980,April22-1790
fsu:359954,April23-1790
fsu:360014,April24-1790
fsu:359937,April25-1790
fsu:360010,April26-1790
fsu:359999,April26-1790
fsu:360011,April27-1790
fsu:359996,April28-1790
fsu:359981,April29-1790
fsu:359968,April30-1790
fsu:359951,May01-1790
fsu:359950,May02-1790
fsu:360033,May03-1790
fsu:359934,May04-1790
fsu:359965,May05-1790
fsu:359984,May06-1790
fsu:359966,May07-1790
fsu:360030,May08-1790
fsu:359994,May08-1790
fsu:359938,May09-1790
fsu:360018,May10-1790
fsu:360116,May11-1790
fsu:360125,May12-1790
fsu:360086,May13-1790
fsu:360078,May14-1790
fsu:360131,May15-1790
fsu:360077,May16-1790
fsu:360042,May17-1790
fsu:360054,May18-1790
fsu:360107,May19-1790
fsu:360072,May20-1790
fsu:360110,May21-1790
fsu:360063,May22-1790
fsu:360069,May23-1790
fsu:360048,May23-1790
fsu:360095,May24-1790
fsu:360137,May25-1790
fsu:360101,May26-1790
fsu:360038,May27-1790
fsu:360122,May28-1790
fsu:360057,May29-1790
fsu:360092,May30-1790
fsu:360152,May31-1790
fsu:360155,June01-1790
fsu:360140,June02-1790
fsu:360145,June03-1790
fsu:368763,June03-1790
fsu:360267,June04-1790
fsu:360219,June05-1790
fsu:360278,June06-1790
fsu:360255,June07-1790
fsu:360270,June08-1790
fsu:360252,June09-1790
fsu:360166,June10-1790
fsu:360263,June11-1790
fsu:360220,June12-1790
fsu:360172,June12-1790
fsu:360197,June13-1790
fsu:360175,June14-1790
fsu:360234,June15-1790
fsu:360205,June16-1790
fsu:360195,June17-1790
fsu:360284,June18-1790
fsu:360161,June19-1790
fsu:360235,June20-1790
fsu:360226,June21-1790
fsu:360283,June22-1790
fsu:360209,June23-1790
fsu:360293,June24-1790
fsu:360298,June25-1790
fsu:360249,June26-1790
fsu:360241,June27-1790
fsu:360180,June28-1790
fsu:360190,June29-1790
fsu:360212,June30-1790
fsu:360181,June30-1790
fsu:360638,July01-1790
fsu:360640,July02-1790
fsu:360587,July02-1790
fsu:360607,July03-1790
fsu:360588,July04-1790
fsu:360627,July05-1790
fsu:360596,July06-1790
fsu:360641,July07-1790
